"id","CHIIKIKBN","CHIIKIKBN_NAME","JUSHOCD","JUSHONAME","CHIIKINAME","5SAI","3SEDAI","YEAR","SEX","POPLATION","RESULT_ESTFLG"
596644,5,"事務所管轄","10","市民課","東京都八王子市万町","60",2,"1990",2,"0",0
596646,5,"事務所管轄","10","市民課","東京都八王子市万町","60",2,"1995",1,"0",0
596648,5,"事務所管轄","10","市民課","東京都八王子市万町","60",2,"1995",2,"0",0
596650,5,"事務所管轄","10","市民課","東京都八王子市万町","60",2,"2000",1,"1506",0
596652,5,"事務所管轄","10","市民課","東京都八王子市万町","60",2,"2000",2,"2258",0
596654,5,"事務所管轄","10","市民課","東京都八王子市万町","60",2,"2005",1,"2177",0
596656,5,"事務所管轄","10","市民課","東京都八王子市万町","60",2,"2005",2,"2988",0
596658,5,"事務所管轄","10","市民課","東京都八王子市万町","60",2,"2010",1,"3431",0
596660,5,"事務所管轄","10","市民課","東京都八王子市万町","60",2,"2010",2,"3908",0
596662,5,"事務所管轄","10","市民課","東京都八王子市万町","60",2,"2015",1,"3148",0
596664,5,"事務所管轄","10","市民課","東京都八王子市万町","60",2,"2015",2,"3347",0
596666,5,"事務所管轄","10","市民課","東京都八王子市万町","60",2,"2020",1,"3387",0
596668,5,"事務所管轄","10","市民課","東京都八王子市万町","60",2,"2020",2,"3285",0
596670,5,"事務所管轄","10","市民課","東京都八王子市万町","65",3,"1980",1,"0",0
596672,5,"事務所管轄","10","市民課","東京都八王子市万町","65",3,"1980",2,"0",0
596674,5,"事務所管轄","10","市民課","東京都八王子市万町","65",3,"1985",1,"0",0
596676,5,"事務所管轄","10","市民課","東京都八王子市万町","65",3,"1985",2,"0",0
596678,5,"事務所管轄","10","市民課","東京都八王子市万町","65",3,"1990",1,"0",0
596680,5,"事務所管轄","10","市民課","東京都八王子市万町","65",3,"1990",2,"0",0
596682,5,"事務所管轄","10","市民課","東京都八王子市万町","65",3,"1995",1,"0",0
596684,5,"事務所管轄","10","市民課","東京都八王子市万町","65",3,"1995",2,"0",0
596686,5,"事務所管轄","10","市民課","東京都八王子市万町","65",3,"2000",1,"775",0
596688,5,"事務所管轄","10","市民課","東京都八王子市万町","65",3,"2000",2,"1499",0
596690,5,"事務所管轄","10","市民課","東京都八王子市万町","65",3,"2005",1,"1544",0
596692,5,"事務所管轄","10","市民課","東京都八王子市万町","65",3,"2005",2,"2324",0
596694,5,"事務所管轄","10","市民課","東京都八王子市万町","65",3,"2010",1,"2264",0
596696,5,"事務所管轄","10","市民課","東京都八王子市万町","65",3,"2010",2,"3103",0
596698,5,"事務所管轄","10","市民課","東京都八王子市万町","65",3,"2015",1,"3679",0
596700,5,"事務所管轄","10","市民課","東京都八王子市万町","65",3,"2015",2,"4128",0
596702,5,"事務所管轄","10","市民課","東京都八王子市万町","65",3,"2020",1,"3358",0
596704,5,"事務所管轄","10","市民課","東京都八王子市万町","65",3,"2020",2,"3524",0
596706,5,"事務所管轄","10","市民課","東京都八王子市万町","70",3,"1980",1,"0",0
596708,5,"事務所管轄","10","市民課","東京都八王子市万町","70",3,"1980",2,"0",0
596710,5,"事務所管轄","10","市民課","東京都八王子市万町","70",3,"1985",1,"0",0
596712,5,"事務所管轄","10","市民課","東京都八王子市万町","70",3,"1985",2,"0",0
596714,5,"事務所管轄","10","市民課","東京都八王子市万町","70",3,"1990",1,"0",0
596716,5,"事務所管轄","10","市民課","東京都八王子市万町","70",3,"1990",2,"0",0
596718,5,"事務所管轄","10","市民課","東京都八王子市万町","70",3,"1995",1,"0",0
596720,5,"事務所管轄","10","市民課","東京都八王子市万町","70",3,"1995",2,"0",0
596722,5,"事務所管轄","10","市民課","東京都八王子市万町","70",3,"2000",1,"234",0
596724,5,"事務所管轄","10","市民課","東京都八王子市万町","70",3,"2000",2,"612",0
596726,5,"事務所管轄","10","市民課","東京都八王子市万町","70",3,"2005",1,"799",0
596728,5,"事務所管轄","10","市民課","東京都八王子市万町","70",3,"2005",2,"1548",0
596730,5,"事務所管轄","10","市民課","東京都八王子市万町","70",3,"2010",1,"1597",0
596732,5,"事務所管轄","10","市民課","東京都八王子市万町","70",3,"2010",2,"2411",0
596734,5,"事務所管轄","10","市民課","東京都八王子市万町","70",3,"2015",1,"2396",0
596736,5,"事務所管轄","10","市民課","東京都八王子市万町","70",3,"2015",2,"3224",0
596738,5,"事務所管轄","10","市民課","東京都八王子市万町","70",3,"2020",1,"3862",0
596740,5,"事務所管轄","10","市民課","東京都八王子市万町","70",3,"2020",2,"4311",0
596742,5,"事務所管轄","10","市民課","東京都八王子市万町","75",3,"1980",1,"0",0
596744,5,"事務所管轄","10","市民課","東京都八王子市万町","75",3,"1980",2,"0",0
596746,5,"事務所管轄","10","市民課","東京都八王子市万町","75",3,"1985",1,"0",0
596748,5,"事務所管轄","10","市民課","東京都八王子市万町","75",3,"1985",2,"0",0
596750,5,"事務所管轄","10","市民課","東京都八王子市万町","75",3,"1990",1,"0",0
596752,5,"事務所管轄","10","市民課","東京都八王子市万町","75",3,"1990",2,"0",0
596754,5,"事務所管轄","10","市民課","東京都八王子市万町","75",3,"1995",1,"0",0
596756,5,"事務所管轄","10","市民課","東京都八王子市万町","75",3,"1995",2,"0",0
596758,5,"事務所管轄","10","市民課","東京都八王子市万町","75",3,"2000",1,"28",0
596760,5,"事務所管轄","10","市民課","東京都八王子市万町","75",3,"2000",2,"144",0
596762,5,"事務所管轄","10","市民課","東京都八王子市万町","75",3,"2005",1,"237",0
596764,5,"事務所管轄","10","市民課","東京都八王子市万町","75",3,"2005",2,"627",0
596766,5,"事務所管轄","10","市民課","東京都八王子市万町","75",3,"2010",1,"817",0
596768,5,"事務所管轄","10","市民課","東京都八王子市万町","75",3,"2010",2,"1591",0
596770,5,"事務所管轄","10","市民課","東京都八王子市万町","75",3,"2015",1,"1670",0
596772,5,"事務所管轄","10","市民課","東京都八王子市万町","75",3,"2015",2,"2545",0
596774,5,"事務所管轄","10","市民課","東京都八王子市万町","75",3,"2020",1,"2519",0
596776,5,"事務所管轄","10","市民課","東京都八王子市万町","75",3,"2020",2,"3339",0
596778,5,"事務所管轄","10","市民課","東京都八王子市万町","80",3,"1980",1,"0",0
596780,5,"事務所管轄","10","市民課","東京都八王子市万町","80",3,"1980",2,"0",0
596782,5,"事務所管轄","10","市民課","東京都八王子市万町","80",3,"1985",1,"0",0
596784,5,"事務所管轄","10","市民課","東京都八王子市万町","80",3,"1985",2,"0",0
596786,5,"事務所管轄","10","市民課","東京都八王子市万町","80",3,"1990",1,"0",0
596788,5,"事務所管轄","10","市民課","東京都八王子市万町","80",3,"1990",2,"0",0
596790,5,"事務所管轄","10","市民課","東京都八王子市万町","80",3,"1995",1,"0",0
596792,5,"事務所管轄","10","市民課","東京都八王子市万町","80",3,"1995",2,"0",0
596794,5,"事務所管轄","10","市民課","東京都八王子市万町","80",3,"2000",1,"2",0
596796,5,"事務所管轄","10","市民課","東京都八王子市万町","80",3,"2000",2,"10",0
596798,5,"事務所管轄","10","市民課","東京都八王子市万町","80",3,"2005",1,"28",0
596800,5,"事務所管轄","10","市民課","東京都八王子市万町","80",3,"2005",2,"145",0
596802,5,"事務所管轄","10","市民課","東京都八王子市万町","80",3,"2010",1,"244",0
596804,5,"事務所管轄","10","市民課","東京都八王子市万町","80",3,"2010",2,"651",0
596806,5,"事務所管轄","10","市民課","東京都八王子市万町","80",3,"2015",1,"876",0
596808,5,"事務所管轄","10","市民課","東京都八王子市万町","80",3,"2015",2,"1710",0
