"CHIIKIKBN","JUSHOCD","CHIIKINAME","JUSHO","IDO","KEIDO"
"1","20551","城山手一丁目","東京都八王子市城山手一丁目","35.654488","139.287393"
"1","20552","城山手二丁目","東京都八王子市城山手二丁目","35.653702","139.283996"
"1","20600","狭間町","東京都八王子市狭間町","35.63541","139.284069"
"1","25100","椚田町","東京都八王子市椚田町","35.636289","139.308945"
"1","25200","館町","東京都八王子市館町","35.624843","139.288208"
"1","25300","寺田町","東京都八王子市寺田町","35.624167","139.305783"
"1","25400","大船町","東京都八王子市大船町","35.622814","139.313606"
"1","15100","下柚木","東京都八王子市下柚木","35.630028","139.374757"
"1","15102","下柚木二丁目","東京都八王子市下柚木二丁目","35.625348","139.380483"
"1","15103","下柚木三丁目","東京都八王子市下柚木三丁目","35.620924","139.379129"
"1","15200","上柚木","東京都八王子市上柚木","35.623189","139.36888"
"1","15202","上柚木二丁目","東京都八王子市上柚木二丁目","35.61954","139.370093"
"1","15203","上柚木三丁目","東京都八王子市上柚木三丁目","35.61689","139.371494"
"1","15300","中山","東京都八王子市中山","35.627221","139.362132"
"1","15400","鑓水","東京都八王子市鑓水","35.61891","139.349939"
"1","15402","鑓水二丁目","東京都八王子市鑓水二丁目","35.611221","139.356372"
"1","15501","南大沢一丁目","東京都八王子市南大沢一丁目","35.619096","139.383851"
"1","15502","南大沢二丁目","東京都八王子市南大沢二丁目","35.61045","139.385206"
"1","15503","南大沢三丁目","東京都八王子市南大沢三丁目","35.604492","139.382612"
"1","15504","南大沢四丁目","東京都八王子市南大沢四丁目","35.607974","139.374672"
"1","15505","南大沢五丁目","東京都八王子市南大沢五丁目","35.611379","139.371016"
"1","15600","越野","東京都八王子市越野","35.630231","139.388327"
"1","15700","松木","東京都八王子市松木","35.622375","139.39283"
"1","15801","別所一丁目","東京都八王子市別所一丁目","35.615534","139.389021"
"1","15802","別所二丁目","東京都八王子市別所二丁目","35.615856","139.397489"
"1","15901","南陽台一丁目","東京都八王子市南陽台一丁目","35.633801","139.37287"
"1","15902","南陽台二丁目","東京都八王子市南陽台二丁目","35.63314","139.37755"
"1","15903","南陽台三丁目","東京都八王子市南陽台三丁目","35.635304","139.378006"
"1","16000","堀之内","東京都八王子市堀之内","35.634728","139.390403"
"1","16002","堀之内二丁目","東京都八王子市堀之内二丁目","35.629711","139.402195"
"1","16003","堀之内三丁目","東京都八王子市堀之内三丁目","35.627213","139.402637"
"1","16100","東中野","東京都八王子市東中野","35.637016","139.406284"
"1","16200","大塚","東京都八王子市大塚","35.639524","139.418698"
"1","16300","鹿島","東京都八王子市鹿島","35.633224","139.425657"
"1","16400","松が谷","東京都八王子市松が谷","35.630088","139.417244"
"1","30100","大楽寺町","東京都八王子市大楽寺町","35.675643","139.286864"
"1","30200","上壱分方町","東京都八王子市上壱分方町","35.681592","139.284711"
"1","30300","諏訪町","東京都八王子市諏訪町","35.678929","139.292294"
"1","30400","四谷町","東京都八王子市四谷町","35.677224","139.296971"
"1","30500","叶谷町","東京都八王子市叶谷町","35.670881","139.303222"
"1","30600","泉町","東京都八王子市泉町","35.674282","139.302061"
"1","30700","横川町","東京都八王子市横川町","35.665159","139.302223"
"1","30800","弐分方町","東京都八王子市弐分方町","35.673971","139.284393"
"1","30900","川町","東京都八王子市川町","35.66833","139.270574"
"1","31001","元八王子町一丁目","東京都八王子市元八王子町一丁目","35.664796","139.287922"
"1","31002","元八王子町二丁目","東京都八王子市元八王子町二丁目","35.659649","139.280972"
"1","31003","元八王子町三丁目","東京都八王子市元八王子町三丁目","35.652095","139.265749"
"1","35100","下恩方町","東京都八王子市下恩方町","35.665693","139.251052"
